quarter,name,bundleid,platform,genre,subgenre,QuarterRank,Engagement,GamePlay,CPI,UA,Rev,Eng-Rate,GPlay-Rate,CPI-Rate,UA-Rate,Rev-Rate
2019_Q4,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,4,0.24,16.25,0.3448,0.16,39009,-0.04,-0.03,0.32,0.07,0.79
2020_Q1,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,5,0.23,15.41,0.2608,0.17,28201,-0.04,-0.05,-0.24,0.06,-0.28
2020_Q2,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,6,0.23,16.45,0.23,0.16,19119,0.0,0.07,-0.12,-0.06,-0.32
2020_Q3,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,7,0.23,17.15,0.2486,0.16,17286,0.0,0.04,0.08,0.0,-0.1
2020_Q4,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,8,0.22,17.2,0.26,0.17,15674,-0.04,0.0,0.05,0.06,-0.09
2020_Q3,Swarm Rush,com.ohmgames.crowdshooter,android,Hypercasual,Hypercasual - Action,1,0.24,11.69,0.4414,0.14,69311,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q4,Swarm Rush,com.ohmgames.crowdshooter,android,Hypercasual,Hypercasual - Action,2,0.2,9.24,0.4091,0.18,25512,-0.17,-0.21,-0.07,0.29,-0.63
2020_Q2,nock,com.ohmgames.knockdolls,android,Hypercasual,Hypercasual - Action,1,0.26,16.05,0.3533,0.12,286039,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q3,nock,com.ohmgames.knockdolls,android,Hypercasual,Hypercasual - Action,2,0.23,14.91,0.5031,0.11,136568,-0.12,-0.07,0.42,-0.08,-0.52
2020_Q4,nock,com.ohmgames.knockdolls,android,Hypercasual,Hypercasual - Action,3,0.21,12.63,0.5836,0.21,75823,-0.09,-0.15,0.16,0.91,-0.44
2019_Q4,Push'em all,com.ohmgames.smashthemall,android,Hypercasual,Hypercasual - Puzzle,1,0.22,15.9,0.2225,0.31,19446,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q1,Push'em all,com.ohmgames.smashthemall,android,Hypercasual,Hypercasual - Puzzle,2,0.22,14.34,0.199,0.27,178399,0.0,-0.1,-0.11,-0.13,8.17
2020_Q2,Push'em all,com.ohmgames.smashthemall,android,Hypercasual,Hypercasual - Puzzle,3,0.2,14.82,0.2778,0.21,90772,-0.09,0.03,0.4,-0.22,-0.49
